Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),397.697405276929,37.1688990534263,10.6997359460468,90,1.01658179848545e-17,323.854899821498,471.53991073236
genotype_NF1(NF1-KO/WT),5.56405873170369,48.1085050113031,0.115656446409973,90,0.908182490657392,-90.0118833655721,101.140000828979
genotype_NF1_KO_labeled,88.9477000508298,58.0805715419088,1.53145359436844,90,0.129164935038425,-26.4394927410044,204.334892842664
genotype_NF1_KO_NOT_labeled,38.4411786609329,89.8517211435718,0.427829074075373,90,0.669797566693151,-140.064948173416,216.947305495282
sex_Male,-43.6076315800967,44.0435078240342,-0.990103507520816,90,0.324777996803004,-131.107747257393,43.8924840971994
which_eye_Right,3.27041757728983,24.0345055516789,0.13607176441628,90,0.892068450226195,-44.4783227006341,51.0191578552138
quadrant_DT,-101.682068377029,17.3169497887498,-5.87182324932815,90,7.12060611328556e-08,-136.085211644984,-67.2789251090743
quadrant_VT,10.3605355477779,36.6048012046855,0.283037612739492,90,0.777797991569286,-62.3612910730935,83.0823621686493
quadrant_VN,-4.42478407852984,30.7228642242439,-0.144022511906236,90,0.885804695612984,-65.4611162503339,56.6115480932742
